split,threshold,precision,recall
val_cc,0.999987,1.000000,0.127651
val_cc,0.999987,1.000000,0.128474
val_cc,0.999986,1.000000,0.128886
val_cc,0.999986,1.000000,0.129298
val_cc,0.999986,1.000000,0.129504
val_cc,0.999986,1.000000,0.129916
val_cc,0.999986,1.000000,0.130739
val_cc,0.999986,1.000000,0.131769
val_cc,0.999986,1.000000,0.132798
val_cc,0.999986,1.000000,0.134033
val_cc,0.999985,1.000000,0.135063
val_cc,0.999985,1.000000,0.135886
val_cc,0.999985,1.000000,0.136710
val_cc,0.999985,1.000000,0.137739
val_cc,0.999985,1.000000,0.138357
val_cc,0.999985,1.000000,0.139386
val_cc,0.999985,1.000000,0.140004
val_cc,0.999985,1.000000,0.140416
val_cc,0.999985,1.000000,0.141445
val_cc,0.999984,1.000000,0.142063
val_cc,0.999984,1.000000,0.142269
val_cc,0.999984,1.000000,0.143298
val_cc,0.999984,1.000000,0.144328
val_cc,0.999984,1.000000,0.144945
val_cc,0.999984,1.000000,0.145975
val_cc,0.999984,1.000000,0.146387
val_cc,0.999984,1.000000,0.147622
val_cc,0.999983,1.000000,0.148240
val_cc,0.999983,1.000000,0.148446
val_cc,0.999983,1.000000,0.149681
val_cc,0.999983,1.000000,0.150710
val_cc,0.999983,1.000000,0.151122
val_cc,0.999983,1.000000,0.151946
val_cc,0.999983,1.000000,0.152152
val_cc,0.999983,1.000000,0.154005
val_cc,0.999982,1.000000,0.155240
val_cc,0.999982,1.000000,0.155652
val_cc,0.999982,1.000000,0.156681
val_cc,0.999982,1.000000,0.157916
val_cc,0.999982,1.000000,0.158534
val_cc,0.999982,1.000000,0.158946
val_cc,0.999982,1.000000,0.159769
val_cc,0.999981,1.000000,0.160387
val_cc,0.999981,1.000000,0.161622
val_cc,0.999981,1.000000,0.163475
val_cc,0.999981,1.000000,0.164093
val_cc,0.999981,1.000000,0.164299
val_cc,0.999981,1.000000,0.165328
val_cc,0.999981,1.000000,0.166358
val_cc,0.999981,1.000000,0.166770
val_cc,0.999980,1.000000,0.167181
val_cc,0.999980,1.000000,0.168005
val_cc,0.999980,1.000000,0.169240
val_cc,0.999980,1.000000,0.169652
val_cc,0.999980,1.000000,0.170270
val_cc,0.999980,1.000000,0.170681
val_cc,0.999980,1.000000,0.170887
val_cc,0.999980,1.000000,0.171299
val_cc,0.999979,1.000000,0.171711
val_cc,0.999979,1.000000,0.173152
val_cc,0.999979,1.000000,0.173770
val_cc,0.999979,1.000000,0.174799
val_cc,0.999979,1.000000,0.175211
val_cc,0.999979,1.000000,0.176035
val_cc,0.999979,1.000000,0.177682
val_cc,0.999979,1.000000,0.178093
val_cc,0.999978,1.000000,0.178505
val_cc,0.999978,1.000000,0.178917
val_cc,0.999978,1.000000,0.179535
val_cc,0.999978,1.000000,0.180358
val_cc,0.999978,1.000000,0.180976
val_cc,0.999978,1.000000,0.181799
val_cc,0.999978,1.000000,0.182211
val_cc,0.999978,1.000000,0.183241
val_cc,0.999977,1.000000,0.184682
val_cc,0.999977,1.000000,0.185505
val_cc,0.999977,1.000000,0.185917
val_cc,0.999977,1.000000,0.187153
val_cc,0.999977,1.000000,0.187358
val_cc,0.999977,1.000000,0.187770
val_cc,0.999977,1.000000,0.188182
val_cc,0.999977,1.000000,0.188800
val_cc,0.999977,1.000000,0.189417
val_cc,0.999976,1.000000,0.189829
val_cc,0.999976,1.000000,0.190859
val_cc,0.999976,1.000000,0.191476
val_cc,0.999976,1.000000,0.191888
val_cc,0.999976,1.000000,0.192094
val_cc,0.999976,1.000000,0.192300
val_cc,0.999976,1.000000,0.192917
val_cc,0.999975,1.000000,0.193947
val_cc,0.999975,1.000000,0.194770
val_cc,0.999975,1.000000,0.195182
val_cc,0.999975,1.000000,0.195388
val_cc,0.999975,1.000000,0.196212
val_cc,0.999975,1.000000,0.196829
val_cc,0.999975,1.000000,0.197859
val_cc,0.999974,1.000000,0.198476
val_cc,0.999974,1.000000,0.199094
val_cc,0.999974,1.000000,0.199300
val_cc,0.999974,1.000000,0.199918
val_cc,0.999974,1.000000,0.200124
val_cc,0.999974,1.000000,0.201153
val_cc,0.999974,1.000000,0.201771
val_cc,0.999974,1.000000,0.201977
val_cc,0.999974,1.000000,0.202388
val_cc,0.999973,1.000000,0.202594
val_cc,0.999973,1.000000,0.202800
val_cc,0.999973,1.000000,0.203212
val_cc,0.999973,1.000000,0.203830
val_cc,0.999973,1.000000,0.204653
val_cc,0.999973,1.000000,0.206094
val_cc,0.999973,1.000000,0.206712
val_cc,0.999973,1.000000,0.206918
val_cc,0.999972,1.000000,0.207330
val_cc,0.999972,1.000000,0.207947
val_cc,0.999972,1.000000,0.208771
val_cc,0.999972,1.000000,0.209389
val_cc,0.999972,1.000000,0.209594
val_cc,0.999972,1.000000,0.210830
val_cc,0.999972,1.000000,0.211242
val_cc,0.999972,1.000000,0.212065
val_cc,0.999972,1.000000,0.213095
val_cc,0.999971,1.000000,0.213918
val_cc,0.999971,1.000000,0.214947
val_cc,0.999971,1.000000,0.215359
val_cc,0.999971,1.000000,0.215771
val_cc,0.999971,1.000000,0.216595
val_cc,0.999971,1.000000,0.217006
val_cc,0.999970,1.000000,0.217830
val_cc,0.999970,1.000000,0.218036
val_cc,0.999970,1.000000,0.219271
val_cc,0.999970,1.000000,0.219477
val_cc,0.999970,1.000000,0.220301
val_cc,0.999970,1.000000,0.221124
val_cc,0.999970,1.000000,0.221330
val_cc,0.999970,1.000000,0.221536
val_cc,0.999969,1.000000,0.222359
val_cc,0.999969,1.000000,0.222771
val_cc,0.999969,1.000000,0.222977
val_cc,0.999969,1.000000,0.223595
val_cc,0.999969,1.000000,0.224007
val_cc,0.999969,1.000000,0.224418
val_cc,0.999969,1.000000,0.224624
val_cc,0.999969,1.000000,0.224830
val_cc,0.999969,1.000000,0.225448
val_cc,0.999968,1.000000,0.225860
val_cc,0.999968,1.000000,0.226065
val_cc,0.999968,1.000000,0.226683
val_cc,0.999968,1.000000,0.226889
val_cc,0.999968,1.000000,0.227507
val_cc,0.999968,1.000000,0.227918
val_cc,0.999968,1.000000,0.228742
val_cc,0.999968,1.000000,0.229360
val_cc,0.999967,1.000000,0.229977
val_cc,0.999967,1.000000,0.231007
val_cc,0.999967,1.000000,0.231419
val_cc,0.999967,1.000000,0.231830
val_cc,0.999967,1.000000,0.232448
val_cc,0.999967,1.000000,0.232654
val_cc,0.999967,1.000000,0.232860
